epoch,loss,accuracy,recall,precision,f1
1,0.5693086780548096,80.4825,0.9073809523809524,0.9196428571428571,0.9085225885225885
2,44.8696987991333,10.235,0.1,0.0078125,0.014492753623188406
3,57717.98277421875,10.055,0.1,0.00625,0.011764705882352941
4,2.3076857551574705,10.0925,0.1,0.01875,0.031578947368421054
5,2.309575570678711,9.6175,0.1,0.0125,0.02222222222222222
6,2.31168842086792,9.99,0.1,0.0078125,0.014492753623188406
7,2.31025396194458,9.9075,0.1,0.0109375,0.019718309859154928
8,2.3107454776763916,9.715,0.1,0.0109375,0.019718309859154928
9,2.304391544342041,9.96,0.1,0.00625,0.011764705882352941
10,2.30296630821228,9.7575,0.1,0.00625,0.011764705882352941
11,2.3030206638336184,9.7825,0.1,0.0125,0.02222222222222222
12,2.3029495445251467,9.685,0.1,0.0140625,0.024657534246575342
13,2.3028388538360596,9.79,0.1,0.00625,0.011764705882352941
14,2.3029060649871824,9.7125,0.1,0.009375,0.017142857142857144
15,2.302801999282837,9.7025,0.1,0.0125,0.02222222222222222
16,2.3027745941162108,9.9525,0.1,0.0078125,0.014492753623188406
17,2.302769027328491,9.6675,0.1,0.0046875,0.008955223880597014
18,2.302772327041626,9.7975,0.1,0.015625,0.02702702702702703
19,2.3027504806518553,9.79,0.1,0.00625,0.011764705882352941
20,2.3030209312438963,9.805,0.1,0.0046875,0.008955223880597014
