epoch,loss,accuracy,recall,precision,f1
1,0.4838290228009224,83.7225,0.9530219780219781,0.9523809523809523,0.9463296703296702
2,2486.5604293288707,10.54,0.1,0.0078125,0.014492753623188406
3,2.302768055725098,9.7775,0.1,0.0109375,0.019718309859154928
4,2.3026807792663573,9.8675,0.1,0.0078125,0.014492753623188406
5,2.302529595565796,10.38,0.11428571428571428,0.029292929292929294,0.04326923076923077
6,2.302330290222168,10.13,0.10714285714285714,0.029428571428571425,0.044035087719298247
7,2.301390026473999,11.4425,0.11527777777777777,0.03428571428571429,0.0502248875562219
8,2.30068557510376,11.4775,0.1,0.00625,0.011764705882352941
9,2.2997001670837403,11.6175,0.16666666666666666,0.04707482993197279,0.07199354317998385
10,2.3000389442443847,11.8075,0.12181818181818183,0.03666666666666667,0.054358974358974355
11,2.3010659259796142,11.265,0.10571428571428572,0.023214285714285715,0.034432234432234435
12,2.3016162467956542,10.825,0.13999999999999999,0.021496598639455782,0.03509433962264151
13,2.3023599422454835,10.43,0.1,0.011320754716981133,0.02033898305084746
14,2.3025128070831298,9.805,0.1,0.009375,0.017142857142857144
15,2.302664275741577,10.395,0.08333333333333334,0.008620689655172414,0.015625000000000003
16,2.302502014541626,10.12,0.1,0.0125,0.02222222222222222
17,2.3029489051818848,9.8675,0.1,0.0078125,0.014492753623188406
18,2.302911304473877,9.69,0.1,0.0046875,0.008955223880597014
19,2.3027574672698976,9.8375,0.1,0.0140625,0.024657534246575342
20,2.3029295680999757,9.6525,0.1,0.0125,0.02222222222222222
