epoch,loss,accuracy,recall,precision,f1
1,0.4888277317762375,83.4775,0.8632828282828283,0.8710317460317458,0.8598698669751302
2,85.85455349736213,10.8775,0.1,0.0140625,0.024657534246575342
3,2.3032330612182617,9.8675,0.1,0.003125,0.006060606060606061
4,2.3028044639587404,9.9725,0.1,0.0046875,0.008955223880597014
5,2.3028227535247803,9.925,0.1,0.0140625,0.024657534246575342
6,2.302838719177246,10.065,0.1,0.009375,0.017142857142857144
7,2.302838673400879,9.5425,0.1,0.0078125,0.014492753623188406
8,2.302790884399414,9.8525,0.1,0.003125,0.006060606060606061
9,2.3027402095794676,9.8875,0.1,0.015625,0.02702702702702703
10,2.3027340732574464,10.075,0.1,0.0140625,0.024657534246575342
11,2.302745768737793,9.8175,0.1,0.00625,0.011764705882352941
12,2.3027220825195314,9.9525,0.1,0.015625,0.02702702702702703
13,2.3027456756591795,9.855,0.1,0.0109375,0.019718309859154928
14,2.3027457027435303,9.6825,0.1,0.0046875,0.008955223880597014
15,2.302701427459717,9.96,0.1,0.0078125,0.014492753623188406
16,2.302729629135132,9.63,0.1,0.00625,0.011764705882352941
17,2.3027369144439698,9.63,0.1,0.009375,0.017142857142857144
18,2.302753525543213,9.575,0.1,0.0125,0.02222222222222222
19,2.302727876663208,9.8375,0.1,0.0046875,0.008955223880597014
20,2.3027272861480714,9.84,0.1,0.0171875,0.029333333333333333
