epoch,loss,accuracy,recall,precision,f1
1,1.6695566158294677,38.035,0.47619047619047616,0.5023809523809524,0.46954887218045105
2,1.2795299676895142,53.375,0.5241666666666667,0.5683441558441558,0.5075414781297134
3,0.9727542550086975,65.3525,0.6326803751803751,0.6218253968253967,0.6041783380018674
4,0.8147457223892212,71.4325,0.7784920634920635,0.7433333333333333,0.729737778561308
5,0.7215011313915253,74.945,0.6630952380952382,0.6891666666666667,0.6562693498452012
6,0.6450487781047821,77.5,0.7455952380952381,0.7960606060606061,0.7537844611528822
7,0.5930423846244812,79.2775,0.8294805194805195,0.8261868686868687,0.8190465090465091
8,0.5505415308475494,80.8575,0.8421789321789322,0.8430555555555556,0.829028749028749
9,0.5143693263292313,82.19,0.8341666666666667,0.8139285714285714,0.8141907464740281
10,0.47968370716571807,83.405,0.8916666666666668,0.8679487179487179,0.8549567099567099
11,0.4570037441253662,84.2,0.7547619047619046,0.737936507936508,0.738844488844489
12,0.43165746257305143,84.925,0.8633333333333333,0.8717063492063492,0.8427428419533683
13,0.39986442905664443,85.9675,0.8666233766233766,0.8499206349206349,0.8451851090086384
14,0.38534566385746,86.585,0.7973304473304473,0.7571031746031747,0.7627539436827362
15,0.3754325319051743,86.7625,0.8533730158730158,0.7976587301587301,0.7977894491129784
16,0.35989703954458235,87.5675,0.8722222222222223,0.9026373626373626,0.872962095113125
17,0.3408813246011734,88.18,0.9357142857142857,0.950865800865801,0.94011544011544
18,0.32174879128932954,88.8875,0.8371031746031747,0.806060606060606,0.7992824822236586
19,0.31797323608398437,88.9775,0.8919841269841271,0.8585714285714285,0.8533333333333333
20,0.29180006642341616,89.745,0.9316666666666666,0.9061965811965813,0.9029497272593249
