epoch,loss,accuracy,recall,precision,f1
1,1.4186419464111328,47.7875,0.47787499999999994,0.47214590007951324,0.47430543546538734
2,0.9865612007141114,65.0075,0.6500750000000001,0.6480105796541992,0.6489129825296569
3,0.7576320065021515,73.455,0.73455,0.7334720720544716,0.7339495261932815
4,0.6170895370006562,78.555,0.7855500000000001,0.7849781269530666,0.7852128099369036
5,0.5292731678724288,81.545,0.81545,0.8150731860178555,0.8152163059024
6,0.45635138254165647,84.165,0.8416500000000001,0.841278667504274,0.841421211034544
7,0.39678528590202333,86.245,0.8624500000000002,0.8623755734871136,0.8623736021648911
8,0.34338211863040924,88.12,0.8812,0.8810547395930332,0.8810879171774613
9,0.30474312143325805,89.45,0.8945000000000001,0.8943635177132178,0.8944070590857448
10,0.2623764586687088,90.8025,0.9080250000000001,0.9078775270044688,0.9079376446453068
11,0.22671044241189955,91.9825,0.919825,0.9197595460436355,0.9197785089184458
12,0.19596146470606327,93.1,0.931,0.9309601936817753,0.9309728744484683
13,0.17344649534523487,93.7775,0.937775,0.9377659920259382,0.9377638736680709
14,0.1572066825836897,94.47,0.9446999999999999,0.9446808320291927,0.9446827947529364
15,0.14084215790629387,95.0075,0.9500749999999998,0.9500874053260293,0.9500751467300252
16,0.12902346564233302,95.4025,0.954025,0.9540302819055247,0.9540245430975611
17,0.11883682558313012,95.8675,0.958675,0.9586868829475094,0.9586785707906843
18,0.11211312663182617,95.9525,0.959525,0.9595164358296113,0.9595174484042683
19,0.10024330714344978,96.45,0.9644999999999999,0.964509274213181,0.9645014056609413
20,0.09221201472431421,96.73,0.9673,0.9672949228516495,0.9672963050470976
