epoch,loss,accuracy,recall,precision,f1
1,1.4488034129142762,46.58,0.46580000000000005,0.45976070486935783,0.46204749050451255
2,0.941084467124939,66.72,0.6672,0.6649335640574975,0.6659240853336259
3,0.721753888130188,74.795,0.74795,0.7472778048408231,0.7475516889464017
4,0.6076106696605682,78.92,0.7891999999999999,0.7887712244534182,0.7888804360081368
5,0.5136165524959564,82.3275,0.8232750000000001,0.8230834199685988,0.8231040391674705
6,0.4404696916103363,84.7175,0.847175,0.8469333327205085,0.847009676592746
7,0.3852754216432571,86.65,0.8664999999999999,0.8662727420031381,0.8663522169060653
8,0.32869774795770645,88.59,0.8859,0.8857727426236786,0.8857830783334512
9,0.28914750047922133,89.9775,0.899775,0.8996476608279751,0.8996869789953192
10,0.2418105663537979,91.4275,0.914275,0.9141721568720136,0.914207243993683
11,0.21808555255532264,92.2075,0.9220750000000001,0.9220176980506748,0.9220330117264508
12,0.18983404249548913,93.2875,0.9328749999999999,0.9328293358996508,0.9328368500405005
13,0.1601885964900255,94.46,0.9446,0.9445752631563638,0.9445809939315742
14,0.14721014332473278,94.65,0.9465,0.9464736326500169,0.9464813470633227
15,0.14339760385751724,94.945,0.94945,0.9494568410675563,0.9494504207140272
16,0.12378551460802555,95.495,0.95495,0.9549427802021675,0.9549450083884062
17,0.10921886425837875,96.1375,0.961375,0.9613472477821118,0.9613580477717368
18,0.10395605709552765,96.2975,0.9629750000000001,0.9629706560832905,0.9629715625378619
19,0.10665381936505437,96.32,0.9631999999999998,0.9632026574580761,0.9632004186852067
20,0.09171179045960307,96.7175,0.9671749999999999,0.9671919060458043,0.9671816283852529
