epoch,loss,accuracy,recall,precision,f1
1,1.452122624874115,46.515,0.46514999999999995,0.45886772822483374,0.461249983755896
2,0.9636799080371856,65.905,0.65905,0.6566431391789316,0.6576935323603296
3,0.7397283745288848,74.33,0.7433,0.7421762820230449,0.7426262685561339
4,0.6077567818164825,78.825,0.7882499999999999,0.7878027128669584,0.7879789449163137
5,0.5135839257955551,82.1875,0.821875,0.821371692014927,0.821568301485927
6,0.4421924913644791,84.77,0.8477,0.8474089251831766,0.847493306195279
7,0.3869541332244873,86.6325,0.866325,0.866111230580161,0.8661930967726154
8,0.33187301770448685,88.4775,0.884775,0.884667935411688,0.884688563283454
9,0.2924073359131813,89.74,0.8974,0.8972086876360515,0.8972812914845069
10,0.2527414043188095,91.27,0.9127000000000001,0.9126209416602423,0.9126486341892507
11,0.21560348192453385,92.34,0.9234,0.9233295513053997,0.9233506367627043
12,0.19843662483990193,93.0275,0.930275,0.9302621353171003,0.9302534954966296
13,0.16770964274704456,94.125,0.9412500000000001,0.9412038976435234,0.9412207325218189
14,0.15367727075517176,94.605,0.94605,0.9460323973067919,0.9460382681642351
15,0.13935781309306622,95.065,0.9506499999999999,0.9506289398393866,0.9506320382806368
16,0.13039654323905706,95.475,0.9547500000000001,0.9547267640657664,0.9547351861959396
17,0.1103427385404706,96.1075,0.9610749999999999,0.9610568940791537,0.9610641869919234
18,0.10609874092042446,96.2725,0.9627249999999998,0.9627278628337738,0.9627246331515946
19,0.1022506995588541,96.3025,0.963025,0.9630163572521029,0.9630170711161847
20,0.09821385598555207,96.515,0.9651500000000001,0.9651638132250294,0.9651544153237677
