epoch,loss,accuracy,recall,precision,f1
1,1.4679788990974427,45.8525,0.458525,0.4524967728380975,0.4545421038518905
2,0.9334722376823426,66.98,0.6698000000000001,0.667801883735417,0.6687135365191341
3,0.7114925698280334,75.4475,0.754475,0.7539518160910217,0.754165643935121
4,0.5877821301937103,79.6075,0.796075,0.7955235020878169,0.7956986131369814
5,0.500853025507927,82.86,0.8286,0.8283436399028463,0.828389174318092
6,0.4391096283197403,84.8175,0.848175,0.847824584668014,0.8479515622700011
7,0.37835995302200315,86.8675,0.868675,0.8684485097138583,0.8685310810278534
8,0.32933950201272966,88.4925,0.884925,0.8847188950479998,0.8847884839772856
9,0.2860012385964394,90.1275,0.9012749999999998,0.9011454410741034,0.9011775769234944
10,0.252472887301445,91.1125,0.911125,0.9109872969059045,0.9110452550719342
11,0.220982480186224,92.2125,0.922125,0.9221175668940983,0.9220960468126691
12,0.18433677111268043,93.4075,0.934075,0.9340719519298952,0.9340629376046236
13,0.16492325581014156,94.125,0.9412499999999999,0.9412207341554902,0.9412221887348273
14,0.15198017858862878,94.6175,0.946175,0.946153961136971,0.9461599177226889
15,0.14278532449901105,95.0125,0.9501249999999999,0.9500937168033033,0.9501061986327757
16,0.12495230871886015,95.52,0.9551999999999999,0.9551848490787836,0.9551891380793578
17,0.10700952826142311,96.255,0.96255,0.9625642105706183,0.9625556623985257
18,0.11110554385632276,96.0975,0.960975,0.9609851557202417,0.960976462304018
19,0.10040926047638059,96.435,0.9643499999999999,0.9643321888166836,0.9643390288732965
20,0.09252995172291995,96.74,0.9673999999999999,0.9674135240148418,0.9674052185553915
