epoch,loss,accuracy,recall,precision,f1
1,1.640230553817749,39.265,0.39265,0.38665064579875125,0.38852749354528043
2,1.2273204753875733,55.6725,0.5567249999999999,0.5516634540836513,0.5537655999485789
3,1.0237604622840881,63.7925,0.637925,0.6353384093848855,0.6364415556082077
4,0.8866599617958069,68.5375,0.685375,0.68366813406448,0.6844026760637657
5,0.7842004427909851,72.39,0.7239,0.7228099553512165,0.7232711495799626
6,0.7108154914855958,75.1325,0.7513249999999999,0.7503037797831154,0.7507255380616751
7,0.6576177176475525,76.955,0.7695500000000001,0.7689423709770131,0.7691741349842627
8,0.6078362715244293,78.555,0.78555,0.7849598290152313,0.7851966473169625
9,0.5575388287067413,80.47,0.8047000000000001,0.8039598573653828,0.8042434255236884
10,0.5229219581604004,81.5,0.8149999999999998,0.8145387074036895,0.8147255289713582
11,0.49129633049964905,82.73,0.8272999999999999,0.8268530160297181,0.8270351034407752
12,0.4577065979719162,83.7,0.8370000000000001,0.8366618304140147,0.8368041197941232
13,0.4239738851070404,85.14,0.8513999999999999,0.850950699197291,0.8511183637615047
14,0.4036333770751953,85.7875,0.8578750000000002,0.8574970896913582,0.8576524380485259
15,0.3769421621918678,86.7575,0.8675750000000001,0.86727137910973,0.8673902715592936
16,0.35040649287700654,87.68,0.8767999999999999,0.8766052798649808,0.8766866284253118
17,0.3275621055006981,88.3225,0.883225,0.8830287417009721,0.8831053232919149
18,0.3094699723482132,89.1025,0.891025,0.8908693230568605,0.8909267747137963
19,0.2901404931664467,89.8225,0.898225,0.8980358824261323,0.8981119026504529
20,0.2706929842710495,90.4125,0.904125,0.9040672349680252,0.9040780272012018
