epoch,loss,accuracy,recall,precision,f1
1,1.4689424646377562,45.8775,0.458775,0.4525304896002485,0.45490116753344134
2,0.988749939250946,64.775,0.6477499999999999,0.645313107589116,0.6463407427331335
3,0.7639081695556641,73.205,0.7320500000000001,0.7312531667495505,0.7315884362083509
4,0.6312004976272583,78.13,0.7813,0.7809070072174242,0.7810443555976064
5,0.5425404218196869,81.2575,0.812575,0.8121866695936,0.8123238179968212
6,0.47449040155410765,83.6425,0.836425,0.836185094119473,0.8362591112591655
7,0.4202741480350494,85.3975,0.8539749999999999,0.853774656895643,0.8538552279958582
8,0.36839411923885346,87.0025,0.870025,0.8696467999733345,0.8698010028266134
9,0.3221072901248932,88.7625,0.8876249999999999,0.8874559278063797,0.8875132396176271
10,0.2963970698714256,89.5175,0.8951749999999998,0.8949059129254898,0.8950190631953063
11,0.263355243909359,90.56,0.9056,0.9054905570908893,0.9055278497906933
12,0.2369530187368393,91.6525,0.916525,0.91644982143486,0.9164767885354239
13,0.2162812996864319,92.465,0.9246500000000001,0.9247162488852998,0.9246663852290016
14,0.18802141451835633,93.3025,0.933025,0.9330102190783345,0.933010115555312
15,0.17077798427939414,93.8825,0.9388249999999999,0.9388135625525923,0.9388133349064441
16,0.15910132163763047,94.5675,0.9456749999999999,0.9456243718757786,0.9456461373585233
17,0.14681445766985415,94.87,0.9487,0.9486838161021998,0.9486889878730302
18,0.14374212975800038,94.9425,0.949425,0.9494009233254349,0.9494093029985656
19,0.1286663668602705,95.57,0.9556999999999999,0.9556829468227417,0.955687951966854
20,0.11721066618263722,95.8925,0.958925,0.9589015516924911,0.9589101620217221
