epoch,loss,accuracy,recall,precision,f1
1,1.4467407760620117,46.775,0.46775,0.4619688313037663,0.46426718453158083
2,0.9990759704589843,64.4475,0.6444750000000001,0.6420883661169914,0.6431102025548044
3,0.789802011680603,72.39,0.7239,0.7229169288892469,0.7233355752142696
4,0.6453603551864624,77.535,0.77535,0.7746702615844174,0.7749509801918092
5,0.5573099108219147,80.6525,0.806525,0.8060916228242366,0.8062642426491085
6,0.48349110996723177,83.2475,0.832475,0.8320606194330233,0.8321911153556731
7,0.42751992535591127,85.1175,0.8511749999999999,0.8507655462356638,0.8509230920105748
8,0.3765869065284729,86.9175,0.869175,0.8690283688259838,0.8690835927701043
9,0.3245025907754898,88.55,0.8855000000000001,0.8852914865851803,0.8853730237972366
10,0.2882607961535454,89.885,0.89885,0.8987028712663004,0.8987642398221946
11,0.250984499168396,91.08,0.9108,0.9108110367480073,0.9107947654146061
12,0.21267615632414819,92.545,0.92545,0.9253623806080128,0.9253985735589033
13,0.19789319853186607,92.995,0.92995,0.9299151905358777,0.9299245972082655
14,0.16850203819572926,93.99,0.9399,0.9398764477205284,0.9398835099209892
15,0.15269738840162755,94.68,0.9468000000000002,0.9467867609136299,0.9467899995852562
16,0.13325809132307767,95.345,0.9534499999999999,0.9534318210713725,0.953437192782402
17,0.13158800005018711,95.3225,0.953225,0.953203540924302,0.9532125835884709
18,0.11736052793115377,95.7675,0.9576750000000003,0.9576648033614308,0.95766676330345
19,0.10339765094518662,96.275,0.96275,0.9627403280650049,0.9627420188012061
20,0.09500736281462013,96.7125,0.9671249999999999,0.9671211712937204,0.9671217356559708
