epoch,loss,accuracy,recall,precision,f1
1,1.4822775835037232,45.305,0.45305,0.4468558118592362,0.4489222386813517
2,1.0418141984939575,62.9375,0.629375,0.6265442702956141,0.6277482240389483
3,0.8168839584827423,71.2975,0.7129749999999999,0.711910246847803,0.7123434074214823
4,0.6699256186485291,76.8425,0.7684249999999999,0.7677315644118189,0.7679902888155243
5,0.5654039727687836,80.4725,0.804725,0.8043149072962393,0.8044675510084573
6,0.48294712154865266,83.1,0.8310000000000001,0.8306182293134793,0.8307464433353701
7,0.42762086417675016,85.04,0.8503999999999999,0.8501410393670088,0.8502344226579017
8,0.3706822695970535,87.075,0.8707499999999999,0.8705968758623,0.8706256850183325
9,0.3281101814031601,88.55,0.8855000000000001,0.8852622760180155,0.8853431187421646
10,0.287115357708931,90.0025,0.900025,0.8999717168396844,0.8999648528830804
11,0.254695453608036,91.1275,0.9112750000000001,0.9111898142908984,0.9111912358397023
12,0.22295736257135867,92.1725,0.921725,0.9216865864331163,0.921688741320926
13,0.19338805844783782,93.15,0.9315,0.9314528952080149,0.9314636844517862
14,0.17224343524575234,93.9025,0.939025,0.938979796652084,0.9389983532500914
15,0.15809787893891333,94.4725,0.944725,0.9447158862199171,0.9447109030417465
16,0.13895999129712583,95.215,0.9521500000000002,0.9521037442633252,0.9521236147967432
17,0.12530460187196732,95.5525,0.955525,0.9555359647932515,0.9555277433767314
18,0.1148264429539442,95.965,0.9596500000000001,0.9596296189141459,0.9596382760489257
19,0.11370764787569643,96.045,0.96045,0.9604569001508002,0.9604520305943984
20,0.10058139639273286,96.4425,0.964425,0.9644412236811848,0.9644286418153797
