epoch,loss,accuracy,recall,precision,f1
1,1.622508418083191,39.9575,0.39957499999999996,0.3929565570875237,0.3951666759833269
2,1.2248255200386047,55.525,0.55525,0.5499096116679256,0.5520273750525402
3,1.0326056934356689,63.185,0.63185,0.6290491075293978,0.6302545969162862
4,0.902058856010437,67.845,0.67845,0.6768559524842099,0.6775542644808749
5,0.7936417928218842,71.8175,0.7181750000000001,0.7166302463381886,0.7173193275792484
6,0.719799935388565,74.925,0.74925,0.7481835252995098,0.7486368884043941
7,0.6618652349948883,76.8525,0.768525,0.7676375032713969,0.7679955765264351
8,0.6109679323673248,78.5625,0.7856249999999999,0.7850985317316623,0.7853119526737649
9,0.5663295439481735,80.185,0.80185,0.8012981568259807,0.8015078672999874
10,0.5331982780694962,81.225,0.8122499999999999,0.8117614159925635,0.8119466310018784
11,0.4959189829349518,82.24,0.8223999999999998,0.821976060911406,0.8221327903558873
12,0.46531997785568235,83.5875,0.835875,0.8353539145600722,0.8355762480054825
13,0.4351166428089142,84.785,0.84785,0.8476355970195113,0.8477133048680063
14,0.4040129329442978,85.8975,0.858975,0.858702850373804,0.8587945456380497
15,0.3830192887067795,86.3775,0.8637750000000001,0.8634455543091472,0.8635656607136786
16,0.35954512989521026,87.2675,0.8726750000000001,0.8724759206374083,0.8725496439106101
17,0.33889179298877714,88.1325,0.881325,0.8810825919362518,0.8811724549439438
18,0.31242663069963456,89.0175,0.8901749999999999,0.8899640345843812,0.8900388784621146
19,0.2972409799218178,89.5425,0.895425,0.8952955555322182,0.8953455587996328
20,0.2737429328918457,90.3825,0.903825,0.9037162707070794,0.9037635890026137
